,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_Porch
28,1573,177500,160,FV,22.2,2117,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,Gable,CompShg,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,756.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,Typ,0,None,Detchd,Unf,440.0,TA,TA,Y,0,0,None,None,None,0,6,2010,WD ,Normal,32
29,2090,200000,60,RL,74.6,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,1107.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,TA,Typ,2,TA,Attchd,RFn,484.0,TA,TA,Y,235,0,None,None,Shed,350,11,2009,WD ,Normal,432
30,2046,450000,20,RL,105.0,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,Hip,CompShg,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,1994.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,2,1,Ex,Typ,2,Gd,Attchd,Fin,878.0,TA,TA,Y,188,0,None,None,None,0,8,2007,WD ,Normal,240
31,886,91300,30,RM,50.0,5784,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,190.0,GasA,Gd,Y,FuseA,0.0,0.0,1,0,2,1,TA,Typ,0,None,Attchd,Unf,273.0,TA,TA,Y,144,0,None,None,None,0,12,2009,WD ,Normal,100
32,1258,173500,20,RL,64.0,7697,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,Gable,CompShg,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1246.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,462.0,TA,TA,Y,0,0,None,None,None,0,8,2007,New,Partial,0
33,1324,199500,20,RL,100.0,18494,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1324.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,Fin,430.0,TA,TA,Y,36,0,None,None,None,0,1,2010,WD ,Normal,23
34,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,Gambrel,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,833.0,GasA,Gd,Y,SBrkr,0.0,0.0,1,1,4,1,Gd,Typ,1,Gd,Detchd,Unf,370.0,TA,TA,N,0,0,None,None,None,0,6,2008,WD ,Normal,220
35,1269,155000,20,RL,70.0,7931,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,Gable,CompShg,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,LwQ,1269.0,GasA,TA,Y,FuseA,0.0,0.0,1,1,3,1,TA,Typ,1,Fa,Detchd,Unf,308.0,TA,TA,Y,0,0,None,None,None,0,6,2008,WD ,Normal,0
36,1346,220000,20,RL,88.0,11896,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,Gable,CompShg,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1336.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,Typ,1,TA,Attchd,Fin,660.0,TA,TA,Y,100,0,None,None,None,0,5,2010,WD ,Normal,48
37,1749,196000,60,RL,68.0,9272,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,842.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,Typ,0,None,Attchd,RFn,515.0,TA,TA,Y,140,0,None,None,None,0,6,2006,WD ,Normal,85
38,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,Gable,CompShg,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,Unf,492.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,1,1,TA,Typ,0,None,Detchd,Unf,200.0,Fa,TA,N,0,0,None,None,None,0,6,2006,WD ,Normal,78
39,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,Gable,CompShg,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,Unf,492.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,1,1,TA,Typ,0,None,Detchd,Unf,200.0,Fa,TA,N,0,0,None,None,None,0,6,2006,WD ,Normal,78
40,2030,195000,60,RL,82.5,12046,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,Gable,CompShg,Plywood,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,848.0,GasA,TA,Y,SBrkr,0.0,0.0,2,1,4,1,Gd,Typ,1,TA,Attchd,Fin,551.0,TA,TA,Y,0,0,None,None,None,0,6,2007,WD ,Normal,224
41,988,129250,20,RL,65.0,7150,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,Hip,CompShg,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,988.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,360.0,TA,TA,Y,0,0,None,None,None,0,11,2007,WD ,Normal,0
42,988,129250,20,RL,65.0,7150,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,Hip,CompShg,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,988.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,360.0,TA,TA,Y,0,0,None,None,None,0,11,2007,WD ,Normal,0
43,2172,291000,60,RL,74.6,11000,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,Hip,CompShg,VinylSd,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,Unf,1519.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,4,1,Ex,Typ,1,TA,BuiltIn,RFn,687.0,TA,TA,Y,162,0,None,None,None,0,6,2008,WD ,Normal,153
44,1080,134000,20,RL,71.0,9187,Pave,None,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,Gable,CompShg,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,Unf,1084.0,GasA,TA,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Typ,0,None,Attchd,Unf,484.0,TA,TA,Y,120,0,None,None,None,0,6,2007,WD ,Normal,158
45,1080,134000,20,RL,71.0,9187,Pave,None,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,Gable,CompShg,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,Unf,1084.0,GasA,TA,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Typ,0,None,Attchd,Unf,484.0,TA,TA,Y,120,0,None,None,None,0,6,2007,WD ,Normal,158
46,1312,186000,20,RL,76.0,11355,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,Gable,Tar&Grv,HdBoard,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1312.0,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Typ,1,Gd,Attchd,RFn,495.0,TA,TA,Y,0,0,None,MnPrv,Othr,6500,4,2008,WD ,Normal,448
47,925,133500,20,RL,68.7,8638,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Unf,925.0,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,484.0,TA,TA,Y,203,0,None,None,None,0,10,2006,WD ,Normal,74
48,925,133500,20,RL,68.7,8638,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Unf,925.0,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,484.0,TA,TA,Y,203,0,None,None,None,0,10,2006,WD ,Normal,74
49,1534,148000,70,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,Gable,CompShg,Wd Sdng,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,Unf,736.0,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,Gd,Typ,0,None,None,None,0.0,None,None,N,0,0,None,None,None,0,7,2007,WD ,Normal,112
50,2376,325300,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158.0,GasA,Ex,Y,SBrkr,0.0,0.0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,RFn,853.0,TA,TA,Y,240,0,None,None,None,0,11,2006,New,Partial,154
51,1959,215000,60,RL,59.0,11796,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,847.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,4,1,Gd,Typ,1,Gd,BuiltIn,Fin,434.0,TA,TA,Y,100,0,None,None,None,0,7,2007,WD ,Normal,48
52,1716,131000,50,RL,60.0,11409,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,768.0,GasA,Gd,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Min2,1,Gd,Attchd,Unf,281.0,TA,TA,Y,0,0,None,None,None,0,1,2009,WD ,Normal,160
53,936,109500,30,RM,56.0,4485,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,Unf,936.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,2,1,TA,Typ,1,Gd,None,None,0.0,None,None,P,51,0,None,MnPrv,None,0,5,2010,WD ,Normal,135
54,1230,110000,50,RM,60.0,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,440.0,GasA,Gd,Y,SBrkr,0.0,0.0,1,1,2,1,TA,Typ,0,None,Detchd,Unf,440.0,TA,TA,Y,74,0,None,MnPrv,None,0,5,2009,WD ,Normal,128
55,2592,150000,90,RL,60.0,10890,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,5,6,1923,Hip,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,Mn,Rec,Unf,1296.0,Grav,Fa,N,FuseA,2.0,0.0,2,0,6,2,TA,Min2,0,None,None,None,0.0,None,None,Y,0,0,None,None,Shed,1512,1,2007,WD ,AdjLand,982
56,1565,193800,120,FV,32.0,3784,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,Stone,36.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1511.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,Typ,0,None,Attchd,Fin,476.0,TA,TA,Y,0,0,None,None,None,0,2,2007,New,Partial,120
