GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MoSold,YrSold,lat,long,TotalPorchSF
1072,140000,180,RM,35.0,3675,Reg,Edwards,TwnhsE,SFoyer,6,5,2005,2005,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,0.0,80.0,547.0,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,Gd,5,0,None,Basment,Fin,2.0,525.0,TA,TA,Y,0,5,2007,42.019086,-93.6703816,44
1342,219500,120,RL,48.0,6240,Reg,NridgHt,TwnhsE,1Story,8,5,2006,2007,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,0.0,1318.0,1342.0,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,RFn,2.0,550.0,TA,TA,Y,0,2,2008,42.057103,-93.6514127,35
1274,136000,60,RL,63.0,10475,Reg,Mitchel,1Fam,2Story,5,5,1991,1991,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,0.0,166.0,624.0,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,TA,6,0,None,Detchd,Unf,2.0,576.0,TA,TA,Y,22,3,2010,41.9863635,-93.6021339,0
861,80000,30,RM,62.0,7404,Reg,OldTown,1Fam,1Story,4,6,1920,1950,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,0.0,861.0,861.0,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,2.0,288.0,TA,TA,N,0,11,2009,42.0322288,-93.6086225,128
1394,159000,20,RL,74.1,9500,IR1,NAmes,1Fam,1Story,6,5,1963,1963,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,0.0,785.0,1394.0,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,TA,6,2,Gd,Attchd,RFn,2.0,514.0,TA,TA,Y,0,7,2009,42.047252,-93.615957,261
1536,214000,20,RL,70.0,9135,Reg,CollgCr,1Fam,1Story,7,5,2002,2003,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,0.0,726.0,1536.0,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,Gd,7,0,None,Attchd,RFn,2.0,532.0,TA,TA,Y,192,12,2008,42.015738,-93.68745,74
1680,163000,60,RL,50.0,8480,IR1,SawyerW,1Fam,2Story,6,5,1993,1994,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,0.0,284.0,886.0,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,Gd,7,0,None,Attchd,RFn,2.0,474.0,TA,TA,Y,144,10,2008,42.0357536,-93.6899194,96
1274,203000,20,RL,68.0,8814,Reg,CollgCr,1Fam,1Story,7,5,2005,2007,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,0.0,349.0,1274.0,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,Gd,6,0,None,Attchd,RFn,2.0,508.0,TA,TA,Y,264,1,2007,42.0251853,-93.6894042,98
864,67000,30,RL,45.0,8248,Reg,Edwards,1Fam,1Story,3,3,1914,1950,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,0.0,823.0,864.0,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,TA,5,0,None,None,None,0.0,0.0,None,None,N,0,9,2008,42.0219435,-93.6578284,100
1610,205000,20,RL,74.6,10603,IR1,NWAmes,1Fam,1Story,6,7,1977,2001,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,0.0,410.0,1610.0,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,Gd,6,2,TA,Attchd,RFn,2.0,480.0,TA,TA,Y,168,2,2010,42.0427279,-93.6364656,68
1091,131250,80,RL,62.0,7706,Reg,Mitchel,1Fam,SLvl,6,5,1993,1996,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,270.0,0.0,384.0,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,TA,5,0,None,Attchd,Fin,1.0,429.0,TA,TA,Y,280,8,2009,41.9873619,-93.6054374,0
1486,181000,20,RL,65.0,7441,IR1,SawyerW,1Fam,1Story,7,5,2006,2006,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1461.0,1461.0,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,Gd,7,0,None,Attchd,RFn,2.0,566.0,TA,TA,Y,0,6,2007,42.0373416,-93.6909894,32
789,115000,20,RM,50.0,6000,Reg,OldTown,1Fam,1Story,5,5,1948,1950,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,169.0,516.0,789.0,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,1.0,250.0,TA,TA,Y,0,4,2008,42.0338488,-93.6087016,0
1092,98000,160,RM,21.0,1477,Reg,MeadowV,Twnhs,2Story,6,9,1970,2007,CemntBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,0.0,188.0,546.0,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,TA,6,0,None,None,None,0.0,0.0,None,None,Y,187,3,2008,41.992342,-93.602403,0
2640,265979,70,RM,65.0,11700,IR1,OldTown,1Fam,2Story,7,7,1880,2003,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,0.0,1240.0,1240.0,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,Gd,8,1,Gd,Detchd,Unf,4.0,864.0,TA,TA,N,181,5,2009,42.0299412,-93.6125793,386
1092,105500,160,RM,21.0,1680,Reg,BrDale,Twnhs,2Story,5,5,1971,1971,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,0.0,225.0,525.0,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,TA,6,0,None,Detchd,Unf,1.0,320.0,TA,TA,Y,0,3,2010,42.051423,-93.628319,0
1458,168165,60,RL,58.0,13204,IR1,Gilbert,1Fam,2Story,7,5,2006,2007,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,0.0,608.0,608.0,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,Gd,6,0,None,BuiltIn,Fin,2.0,454.0,TA,TA,Y,100,5,2007,42.0619944,-93.6457105,33
1466,201000,20,RL,73.0,8925,IR1,Timber,1Fam,1Story,8,5,2007,2007,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,0.0,1450.0,1466.0,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,Gd,7,0,None,Attchd,Fin,3.0,610.0,TA,TA,Y,100,7,2009,41.99435740000001,-93.6502643,18
1573,177500,160,FV,22.2,2117,Reg,Somerst,Twnhs,2Story,6,5,2000,2000,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,0.0,378.0,756.0,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,Gd,5,0,None,Detchd,Unf,2.0,440.0,TA,TA,Y,0,6,2010,42.0461934,-93.6459481,32
2090,200000,60,RL,74.6,10382,IR1,NWAmes,1Fam,2Story,7,6,1973,1973,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,32.0,216.0,1107.0,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,TA,7,2,TA,Attchd,RFn,2.0,484.0,TA,TA,Y,235,11,2009,42.048968,-93.632865,432
2046,450000,20,RL,105.0,15431,Reg,NridgHt,1Fam,1Story,10,5,2005,2006,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,0.0,564.0,1994.0,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,Ex,7,2,Gd,Attchd,Fin,3.0,878.0,TA,TA,Y,188,8,2007,42.0614983,-93.657825,240
886,91300,30,RM,50.0,5784,Reg,OldTown,1Fam,1Story,5,8,1938,1996,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,0.0,190.0,190.0,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,TA,4,0,None,Attchd,Unf,1.0,273.0,TA,TA,Y,144,12,2009,42.0311722,-93.6102843,100
1258,173500,20,RL,64.0,7697,Reg,Gilbert,1Fam,1Story,7,6,2007,2007,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1246.0,1246.0,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,Gd,6,0,None,Attchd,RFn,2.0,462.0,TA,TA,Y,0,8,2007,42.0632601,-93.6441465,0
1324,199500,20,RL,100.0,18494,IR1,Gilbert,1Fam,1Story,6,5,2005,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1324.0,1324.0,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,Gd,6,0,None,Attchd,Fin,2.0,430.0,TA,TA,Y,36,1,2010,42.061763,-93.6444831,23
1848,207000,50,RL,64.0,13053,Reg,BrkSide,1Fam,1.5Fin,6,7,1923,2000,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,833.0,833.0,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,Gd,8,1,Gd,Detchd,Unf,2.0,370.0,TA,TA,N,0,6,2008,42.029399,-93.627,220
1269,155000,20,RL,70.0,7931,Reg,NAmes,1Fam,1Story,5,6,1960,1960,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,532.0,363.0,1269.0,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,TA,6,1,Fa,Detchd,Unf,1.0,308.0,TA,TA,Y,0,6,2008,42.0376628,-93.606565,0
1346,220000,20,RL,88.0,11896,IR1,Timber,1Fam,1Story,7,5,2008,2008,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,0.0,1258.0,1336.0,Ex,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,Gd,6,1,TA,Attchd,Fin,3.0,660.0,TA,TA,Y,100,5,2010,41.9951757,-93.6494525,48
1749,196000,60,RL,68.0,9272,IR1,CollgCr,1Fam,2Story,7,5,1999,1999,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,0.0,342.0,842.0,Ex,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,Gd,7,0,None,Attchd,RFn,2.0,515.0,TA,TA,Y,140,6,2006,42.0168902,-93.6919315,85
492,61500,30,RM,52.0,7830,Reg,OldTown,1Fam,1Story,3,5,1921,1950,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,0.0,76.0,492.0,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,TA,3,0,None,Detchd,Unf,1.0,200.0,Fa,TA,N,0,6,2006,42.0318476,-93.6096908,78
492,61500,30,RM,52.0,7830,Reg,OldTown,1Fam,1Story,3,5,1921,1950,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,0.0,76.0,492.0,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,TA,3,0,None,Detchd,Unf,1.0,200.0,Fa,TA,N,0,6,2006,42.0318476,-93.6096908,78
2030,195000,60,RL,82.5,12046,IR1,NWAmes,1Fam,2Story,6,6,1976,1976,Plywood,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,0.0,692.0,848.0,TA,Y,SBrkr,1118,912,0,0.0,0.0,2,1,4,Gd,8,1,TA,Attchd,Fin,2.0,551.0,TA,TA,Y,0,6,2007,42.0549831,-93.6317746,224
988,129250,20,RL,65.0,7150,Reg,NAmes,1Fam,1Story,5,6,1966,1966,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,0.0,263.0,988.0,TA,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,TA,5,0,None,Detchd,Unf,1.0,360.0,TA,TA,Y,0,11,2007,42.0488372,-93.6258371,0
988,129250,20,RL,65.0,7150,Reg,NAmes,1Fam,1Story,5,6,1966,1966,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,0.0,263.0,988.0,TA,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,TA,5,0,None,Detchd,Unf,1.0,360.0,TA,TA,Y,0,11,2007,42.0488372,-93.6258371,0
2172,291000,60,RL,74.6,11000,Reg,NoRidge,1Fam,2Story,9,5,2000,2000,VinylSd,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,0.0,1519.0,1519.0,Ex,Y,SBrkr,1533,639,0,0.0,0.0,2,1,4,Ex,8,1,TA,BuiltIn,RFn,3.0,687.0,TA,TA,Y,162,6,2008,42.0559073,-93.6513731,153
1080,134000,20,RL,71.0,9187,Reg,Mitchel,1Fam,1Story,6,5,1983,1983,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,0.0,748.0,1084.0,TA,Y,SBrkr,1080,0,0,0.0,0.0,1,1,3,TA,5,0,None,Attchd,Unf,2.0,484.0,TA,TA,Y,120,6,2007,41.99400960000001,-93.6073563,158
1080,134000,20,RL,71.0,9187,Reg,Mitchel,1Fam,1Story,6,5,1983,1983,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,0.0,748.0,1084.0,TA,Y,SBrkr,1080,0,0,0.0,0.0,1,1,3,TA,5,0,None,Attchd,Unf,2.0,484.0,TA,TA,Y,120,6,2007,41.99400960000001,-93.6073563,158
1312,186000,20,RL,76.0,11355,IR1,NAmes,1Fam,1Story,7,7,1958,2001,HdBoard,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,637.0,0.0,675.0,1312.0,Ex,Y,SBrkr,1312,0,0,0.0,0.0,1,1,3,TA,6,1,Gd,Attchd,RFn,2.0,495.0,TA,TA,Y,0,4,2008,42.041367,-93.6054572,448
925,133500,20,RL,68.7,8638,IR1,Sawyer,1Fam,1Story,5,6,1963,1963,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,0.0,744.0,925.0,Gd,Y,SBrkr,925,0,0,1.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,2.0,484.0,TA,TA,Y,203,10,2006,42.0360221,-93.673079,74
925,133500,20,RL,68.7,8638,IR1,Sawyer,1Fam,1Story,5,6,1963,1963,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,0.0,744.0,925.0,Gd,Y,SBrkr,925,0,0,1.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,2.0,484.0,TA,TA,Y,203,10,2006,42.0360221,-93.673079,74
1534,148000,70,RL,60.0,10800,Reg,OldTown,1Fam,2Story,5,9,1895,1999,Wd Sdng,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,0.0,0.0,736.0,736.0,Ex,Y,SBrkr,751,783,0,0.0,0.0,1,1,3,Gd,6,0,None,None,None,0.0,0.0,None,None,N,0,7,2007,42.0362045,-93.6136477,112
2376,325300,60,RL,101.0,14215,IR1,NridgHt,1Fam,2Story,8,5,2005,2006,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,0.0,1158.0,1158.0,Ex,Y,SBrkr,1158,1218,0,0.0,0.0,3,1,4,Gd,9,1,Gd,BuiltIn,RFn,3.0,853.0,TA,TA,Y,240,11,2006,42.0605784,-93.6580859,154
1959,215000,60,RL,59.0,11796,IR1,Gilbert,1Fam,2Story,7,5,2004,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,847.0,847.0,Ex,Y,SBrkr,847,1112,0,0.0,0.0,2,1,4,Gd,8,1,Gd,BuiltIn,Fin,2.0,434.0,TA,TA,Y,100,7,2007,42.0603433,-93.6435922,48
1716,131000,50,RL,60.0,11409,Reg,Edwards,1Fam,1.5Fin,5,4,1949,2008,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292.0,0.0,476.0,768.0,Gd,Y,SBrkr,1148,568,0,0.0,0.0,1,1,3,TA,8,1,Gd,Attchd,Unf,1.0,281.0,TA,TA,Y,0,1,2009,42.0247405,-93.660997,160
936,109500,30,RM,56.0,4485,Reg,OldTown,1Fam,1Story,5,7,1920,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,579.0,0.0,357.0,936.0,TA,Y,SBrkr,936,0,0,1.0,0.0,1,0,2,TA,5,1,Gd,None,None,0.0,0.0,None,None,P,51,5,2010,42.03157909999999,-93.6200784,135
1230,110000,50,RM,60.0,10440,Reg,OldTown,1Fam,2Story,5,6,1910,1981,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,0.0,440.0,440.0,Gd,Y,SBrkr,682,548,0,0.0,0.0,1,1,2,TA,5,0,None,Detchd,Unf,2.0,440.0,TA,TA,Y,74,5,2009,42.0334401,-93.6158737,128
2592,150000,90,RL,60.0,10890,Reg,SWISU,Duplex,2Story,5,6,1923,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,Mn,Rec,371.0,0.0,925.0,1296.0,Fa,N,FuseA,1296,1296,0,2.0,0.0,2,0,6,TA,12,0,None,None,None,0.0,0.0,None,None,Y,0,1,2007,42.0181276,-93.6514519,982
1565,193800,120,FV,32.0,3784,IR1,Somerst,TwnhsE,1Story,8,5,2006,2007,VinylSd,Stone,36.0,Gd,TA,PConc,Gd,TA,No,GLQ,60.0,0.0,1451.0,1511.0,Ex,Y,SBrkr,1565,0,0,1.0,0.0,2,0,2,Gd,5,0,None,Attchd,Fin,2.0,476.0,TA,TA,Y,0,2,2007,42.047406,-93.647166,120
1868,178000,80,RL,78.0,12090,Reg,NWAmes,1Fam,SLvl,6,7,1984,2003,VinylSd,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,0.0,585.0,585.0,Ex,Y,SBrkr,1140,728,0,0.0,0.0,3,1,3,TA,7,1,TA,BuiltIn,Fin,2.0,477.0,TA,TA,Y,268,1,2007,42.0559751,-93.6376533,259
1422,179600,20,RL,63.0,8500,Reg,CollgCr,1Fam,1Story,7,5,2004,2004,VinylSd,BrkFace,106.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,1422.0,1422.0,Ex,Y,SBrkr,1422,0,0,0.0,0.0,2,0,3,Gd,7,0,None,Attchd,RFn,2.0,626.0,TA,TA,Y,192,11,2007,42.0135674,-93.6854016,60
1200,179000,90,RL,60.0,10800,Reg,Edwards,Duplex,1Story,5,5,1987,1988,Plywood,None,0.0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200.0,0.0,0.0,1200.0,TA,Y,SBrkr,1200,0,0,3.0,0.0,3,0,3,TA,5,0,None,None,None,0.0,0.0,None,None,Y,120,3,2009,42.0279616,-93.6587196,0
1641,140000,50,RL,70.0,10759,Reg,Sawyer,1Fam,1.5Fin,5,4,1972,1972,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,No,LwQ,190.0,811.0,0.0,1001.0,TA,Y,SBrkr,1001,640,0,0.0,0.0,2,0,4,TA,5,1,Gd,Detchd,Unf,2.0,490.0,TA,TA,Y,0,7,2008,42.0346517,-93.6603237,92
1973,395000,20,RL,110.0,14226,Reg,NridgHt,1Fam,1Story,8,5,2006,2006,VinylSd,BrkFace,375.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,1935.0,1935.0,Gd,Y,SBrkr,1973,0,0,0.0,0.0,2,0,3,Gd,9,1,Gd,Attchd,Fin,3.0,895.0,TA,TA,Y,315,7,2007,42.0624123,-93.656264,45
1248,151500,20,RL,80.0,10800,Reg,NAmes,1Fam,1Story,5,7,1960,1960,Wd Sdng,BrkFace,88.0,TA,TA,CBlock,TA,TA,No,ALQ,632.0,0.0,616.0,1248.0,Ex,Y,SBrkr,1248,0,0,1.0,0.0,1,0,3,TA,6,0,None,Attchd,Unf,1.0,286.0,TA,TA,Y,0,5,2006,42.0400015,-93.6218792,0
2418,341000,60,RL,96.0,10542,Reg,NoRidge,1Fam,2Story,7,5,1993,1994,Wd Sdng,BrkFace,651.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1173.0,0.0,138.0,1311.0,Ex,Y,SBrkr,1325,1093,0,1.0,0.0,2,1,3,Gd,9,1,TA,Attchd,RFn,3.0,983.0,TA,TA,Y,250,8,2008,42.0497012,-93.6558878,370
1755,235000,60,RL,82.5,11949,Reg,NoRidge,1Fam,2Story,7,8,1991,2008,VinylSd,BrkFace,196.0,Gd,Gd,PConc,Gd,TA,No,GLQ,601.0,216.0,158.0,975.0,Ex,Y,SBrkr,975,780,0,0.0,1.0,2,1,3,Gd,7,1,TA,Attchd,Unf,2.0,524.0,TA,TA,Y,502,7,2009,42.0473036,-93.6500944,60
672,72000,30,RM,61.0,8534,Reg,IDOTRR,1Fam,1Story,4,4,1925,1950,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,0.0,432.0,432.0,TA,N,FuseA,672,0,0,0.0,0.0,1,0,2,TA,4,0,None,None,None,0.0,0.0,None,None,N,0,6,2006,42.020356,-93.6286474,112
1626,154000,50,RL,70.0,10512,Reg,Edwards,1Fam,1.5Fin,6,6,1954,1954,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,491.0,0.0,497.0,988.0,Ex,Y,SBrkr,988,638,0,0.0,0.0,1,1,3,Gd,6,0,None,Attchd,Unf,1.0,332.0,TA,TA,Y,366,5,2007,42.0249489,-93.6671473,0
1726,222000,120,FV,46.2,3830,IR1,Somerst,TwnhsE,1Story,6,5,2008,2008,VinylSd,Stone,280.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1726.0,1726.0,Ex,Y,SBrkr,1726,0,0,0.0,0.0,2,1,2,Gd,6,1,Gd,Attchd,Fin,2.0,561.0,TA,TA,Y,0,1,2009,42.047338,-93.647039,254
