PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,lot_bucket,mean_LotFrontage,Prop_Addr,lat,long
908186050,1072,140000,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,5,2007,WD ,Normal,"(3299.486, 4299.229]",46.15492957746479,3901 MARIGOLD DR,42.019086,-93.6703816
528186170,1342,219500,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,0,None,None,None,0,2,2008,WD ,Normal,"(5298.972, 6298.715]",54.06015037593985,3629 CHILTON AVE,42.057103,-93.6514127
923426070,1274,136000,60,RL,63.0,10475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,None,GdWo,None,0,3,2010,WD ,Normal,"(10297.687, 11297.43]",74.60964912280701,700 KEN MARIL RD,41.9863635,-93.6021339
902204080,861,80000,30,RM,62.0,7404,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,0,None,None,None,0,11,2009,Oth,Normal,"(7298.458, 8298.201]",64.93913043478261,1102 CARROLL AVE,42.0322288,-93.6086225
535105100,1394,159000,20,RL,74.1,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,0,None,None,None,0,7,2009,WD ,Normal,"(9297.944, 10297.687]",74.05555555555556,2519 KELLOGG AVE,42.047252,-93.615957
907405020,1536,214000,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,0,None,None,None,0,12,2008,WD ,Normal,"(8298.201, 9297.944]",68.7248322147651,812 TENNYSON AVE,42.015738,-93.68745
531382110,1680,163000,60,RL,50.0,8480,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,0,None,None,None,0,10,2008,WD ,Normal,"(8298.201, 9297.944]",68.7248322147651,5220 MARYLAND ST,42.0357536,-93.6899194
906380120,1274,203000,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,0,None,None,None,0,1,2007,New,Partial,"(8298.201, 9297.944]",68.7248322147651,319 HARTFORD DR,42.0251853,-93.6894042
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,None,None,None,None,0.0,0.0,None,None,N,0,0,100,0,0,0,None,None,None,0,9,2008,WD ,Normal,"(7298.458, 8298.201]",64.93913043478261,2910 WOOD ST,42.0219435,-93.6578284
534152050,1610,205000,20,RL,74.6,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,0,0,None,None,None,0,2,2010,WD ,Normal,"(10297.687, 11297.43]",74.60964912280701,2102 PRAIRIE VIEW EAST,42.0427279,-93.6364656
923252075,1091,131250,80,RL,62.0,7706,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,None,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,None,None,Shed,700,8,2009,WD ,Normal,"(7298.458, 8298.201]",64.93913043478261,424 TEAGARDEN DR,41.9873619,-93.6054374
531376060,1486,181000,20,RL,65.0,7441,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,0,None,None,None,0,6,2007,WD ,Normal,"(7298.458, 8298.201]",64.93913043478261,1514 CALIFORNIA AVE,42.0373416,-93.6909894
902201120,789,115000,20,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,4,2008,WD ,Partial,"(5298.972, 6298.715]",54.06015037593985,1216 CARROLL AVE,42.0338488,-93.6087016
923228080,1092,98000,160,RM,21.0,1477,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,TA,6,Typ,0,None,None,None,None,0.0,0.0,None,None,Y,187,0,0,0,0,0,None,None,None,0,3,2008,WD ,Normal,"(1086.055, 2299.743]",22.25,626 MEADOW PL,41.992342,-93.602403
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,0,None,None,None,0,5,2009,WD ,Normal,"(11297.43, 12297.173]",82.47651006711409,829 DOUGLAS AVE,42.0299412,-93.6125793
527451330,1092,105500,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,Normal,"(1086.055, 2299.743]",22.25,1342 BARKLEY CT,42.051423,-93.628319
528218100,1458,168165,60,RL,58.0,13204,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,0,None,None,None,0,5,2007,New,Partial,"(12297.173, 13296.916]",82.49514563106796,4205 CRESTMOOR AVE,42.0619944,-93.6457105
916386140,1466,201000,20,RL,73.0,8925,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,"(8298.201, 9297.944]",68.7248322147651,3028 COTTONTAIL LN,41.99435740000001,-93.6502643
533221090,1573,177500,160,FV,22.2,2117,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,None,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,"(1086.055, 2299.743]",22.25,2711 HAMPTON ST,42.0461934,-93.6459481
534128010,2090,200000,60,RL,74.6,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD ,Normal,"(10297.687, 11297.43]",74.60964912280701,1636 JOHNSON ST,42.048968,-93.632865
528106110,2046,450000,20,RL,105.0,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,None,None,None,0,8,2007,WD ,Normal,"(15296.402, 16296.145]",84.5,3331 WESTON DR,42.0614983,-93.657825
902206260,886,91300,30,RM,50.0,5784,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,None,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,0,None,None,None,0,12,2009,WD ,Normal,"(5298.972, 6298.715]",54.06015037593985,926 DUFF AVE,42.0311722,-93.6102843
528222090,1258,173500,20,RL,64.0,7697,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,8,2007,New,Partial,"(7298.458, 8298.201]",64.93913043478261,4302 WELBECK DR,42.0632601,-93.6441465
528218150,1324,199500,20,RL,100.0,18494,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,None,None,None,0,1,2010,WD ,Normal,"(18295.631, 19295.374]",95.5,4103 CRESTMOOR AVE,42.061763,-93.6444831
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,0,None,None,None,0,6,2008,WD ,Normal,"(12297.173, 13296.916]",82.49514563106796,816 BROOKRIDGE AVE,42.029399,-93.627
535453210,1269,155000,20,RL,70.0,7931,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2008,WD ,Normal,"(7298.458, 8298.201]",64.93913043478261,1522 MAXWELL AVE,42.0376628,-93.606565
916386010,1346,220000,20,RL,88.0,11896,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2008.0,Fin,3.0,660.0,TA,TA,Y,100,48,0,0,0,0,None,None,None,0,5,2010,WD ,Normal,"(11297.43, 12297.173]",82.47651006711409,3005 CEDAR LN,41.9951757,-93.6494525
907181090,1749,196000,60,RL,68.0,9272,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,GasA,Ex,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,1999.0,RFn,2.0,515.0,TA,TA,Y,140,85,0,0,0,0,None,None,None,0,6,2006,WD ,Normal,"(8298.201, 9297.944]",68.7248322147651,5408 CERVANTES DR,42.0168902,-93.6919315
902206020,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,GasA,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,TA,3,Typ,0,None,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,0,78,0,0,0,None,None,None,0,6,2006,WD ,Normal,"(7298.458, 8298.201]",64.93913043478261,118 E 11TH ST,42.0318476,-93.6096908
