PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MoSold,YrSold,lot_bucket,mean_LotFrontage,Prop_Addr,lat,long,TotalPorchSF
902206020,492,61500,30,RM,52.0,7830,Reg,OldTown,1Fam,1Story,3,5,1921,1950,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,0.0,76.0,492.0,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,TA,3,0,None,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,6,2006,"(7298.458, 8298.201]",64.93913043478261,118 E 11TH ST,42.0318476,-93.6096908,78
902206020,492,61500,30,RM,52.0,7830,Reg,OldTown,1Fam,1Story,3,5,1921,1950,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,0.0,76.0,492.0,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,TA,3,0,None,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,6,2006,"(7298.458, 8298.201]",64.93913043478261,118 E 11TH ST,42.0318476,-93.6096908,78
527327050,2030,195000,60,RL,82.5,12046,IR1,NWAmes,1Fam,2Story,6,6,1976,1976,Plywood,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,0.0,692.0,848.0,TA,Y,SBrkr,1118,912,0,0.0,0.0,2,1,4,Gd,8,1,TA,Attchd,1976.0,Fin,2.0,551.0,TA,TA,Y,0,6,2007,"(11297.43, 12297.173]",82.47651006711409,3323 BUCHANAN CT,42.0549831,-93.6317746,224
527455250,988,129250,20,RL,65.0,7150,Reg,NAmes,1Fam,1Story,5,6,1966,1966,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,0.0,263.0,988.0,TA,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,TA,5,0,None,Detchd,1974.0,Unf,1.0,360.0,TA,TA,Y,0,11,2007,"(6298.715, 7298.458]",59.5875,1115 28TH ST,42.0488372,-93.6258371,0
527455250,988,129250,20,RL,65.0,7150,Reg,NAmes,1Fam,1Story,5,6,1966,1966,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,0.0,263.0,988.0,TA,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,TA,5,0,None,Detchd,1974.0,Unf,1.0,360.0,TA,TA,Y,0,11,2007,"(6298.715, 7298.458]",59.5875,1115 28TH ST,42.0488372,-93.6258371,0
528326110,2172,291000,60,RL,74.6,11000,Reg,NoRidge,1Fam,2Story,9,5,2000,2000,VinylSd,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,0.0,1519.0,1519.0,Ex,Y,SBrkr,1533,639,0,0.0,0.0,2,1,4,Ex,8,1,TA,BuiltIn,2000.0,RFn,3.0,687.0,TA,TA,Y,162,6,2008,"(10297.687, 11297.43]",74.60964912280701,3013 ALMOND RD,42.0559073,-93.6513731,153
914452190,1080,134000,20,RL,71.0,9187,Reg,Mitchel,1Fam,1Story,6,5,1983,1983,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,0.0,748.0,1084.0,TA,Y,SBrkr,1080,0,0,0.0,0.0,1,1,3,TA,5,0,None,Attchd,1983.0,Unf,2.0,484.0,TA,TA,Y,120,6,2007,"(8298.201, 9297.944]",68.7248322147651,302 OPAL CIR,41.99400960000001,-93.6073563,158
914452190,1080,134000,20,RL,71.0,9187,Reg,Mitchel,1Fam,1Story,6,5,1983,1983,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,0.0,748.0,1084.0,TA,Y,SBrkr,1080,0,0,0.0,0.0,1,1,3,TA,5,0,None,Attchd,1983.0,Unf,2.0,484.0,TA,TA,Y,120,6,2007,"(8298.201, 9297.944]",68.7248322147651,302 OPAL CIR,41.99400960000001,-93.6073563,158
535425060,1312,186000,20,RL,76.0,11355,IR1,NAmes,1Fam,1Story,7,7,1958,2001,HdBoard,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,637.0,0.0,675.0,1312.0,Ex,Y,SBrkr,1312,0,0,0.0,0.0,1,1,3,TA,6,1,Gd,Attchd,1958.0,RFn,2.0,495.0,TA,TA,Y,0,4,2008,"(11297.43, 12297.173]",82.47651006711409,1903 MEADOWLANE AVE,42.041367,-93.6054572,448
532376250,925,133500,20,RL,68.7,8638,IR1,Sawyer,1Fam,1Story,5,6,1963,1963,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,0.0,744.0,925.0,Gd,Y,SBrkr,925,0,0,1.0,0.0,1,0,2,TA,5,0,None,Detchd,1990.0,Unf,2.0,484.0,TA,TA,Y,203,10,2006,"(8298.201, 9297.944]",68.7248322147651,4015 TORONTO ST,42.0360221,-93.673079,74
532376250,925,133500,20,RL,68.7,8638,IR1,Sawyer,1Fam,1Story,5,6,1963,1963,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,0.0,744.0,925.0,Gd,Y,SBrkr,925,0,0,1.0,0.0,1,0,2,TA,5,0,None,Detchd,1990.0,Unf,2.0,484.0,TA,TA,Y,203,10,2006,"(8298.201, 9297.944]",68.7248322147651,4015 TORONTO ST,42.0360221,-93.673079,74
535379110,1534,148000,70,RL,60.0,10800,Reg,OldTown,1Fam,2Story,5,9,1895,1999,Wd Sdng,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,0.0,0.0,736.0,736.0,Ex,Y,SBrkr,751,783,0,0.0,0.0,1,1,3,Gd,6,0,None,None,None,None,0.0,0.0,None,None,N,0,7,2007,"(10297.687, 11297.43]",74.60964912280701,1412 KELLOGG AVE,42.0362045,-93.6136477,112
528118010,2376,325300,60,RL,101.0,14215,IR1,NridgHt,1Fam,2Story,8,5,2005,2006,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,0.0,1158.0,1158.0,Ex,Y,SBrkr,1158,1218,0,0.0,0.0,3,1,4,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240,11,2006,"(13296.916, 14296.659]",87.2,3335 PRESTON CIR,42.0605784,-93.6580859,154
528235160,1959,215000,60,RL,59.0,11796,IR1,Gilbert,1Fam,2Story,7,5,2004,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,847.0,847.0,Ex,Y,SBrkr,847,1112,0,0.0,0.0,2,1,4,Gd,8,1,Gd,BuiltIn,2004.0,Fin,2.0,434.0,TA,TA,Y,100,7,2007,"(11297.43, 12297.173]",82.47651006711409,3908 WELBECK DR,42.0603433,-93.6435922,48
905478030,1716,131000,50,RL,60.0,11409,Reg,Edwards,1Fam,1.5Fin,5,4,1949,2008,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292.0,0.0,476.0,768.0,Gd,Y,SBrkr,1148,568,0,0.0,0.0,1,1,3,TA,8,1,Gd,Attchd,1949.0,Unf,1.0,281.0,TA,TA,Y,0,1,2009,"(11297.43, 12297.173]",82.47651006711409,3218 WEST ST,42.0247405,-93.660997,160
902106130,936,109500,30,RM,56.0,4485,Reg,OldTown,1Fam,1Story,5,7,1920,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,579.0,0.0,357.0,936.0,TA,Y,SBrkr,936,0,0,1.0,0.0,1,0,2,TA,5,1,Gd,None,None,None,0.0,0.0,None,None,P,51,5,2010,"(4299.229, 5298.972]",46.564516129032256,1010 GRAND AVE,42.03157909999999,-93.6200784,135
902102080,1230,110000,50,RM,60.0,10440,Reg,OldTown,1Fam,2Story,5,6,1910,1981,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,0.0,440.0,440.0,Gd,Y,SBrkr,682,548,0,0.0,0.0,1,1,2,TA,5,0,None,Detchd,1966.0,Unf,2.0,440.0,TA,TA,Y,74,5,2009,"(10297.687, 11297.43]",74.60964912280701,1203 BURNETT AVE,42.0334401,-93.6158737,128
909176170,2592,150000,90,RL,60.0,10890,Reg,SWISU,Duplex,2Story,5,6,1923,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,Mn,Rec,371.0,0.0,925.0,1296.0,Fa,N,FuseA,1296,1296,0,2.0,0.0,2,0,6,TA,12,0,None,None,None,None,0.0,0.0,None,None,Y,0,1,2007,"(10297.687, 11297.43]",74.60964912280701,426 HAYWARD AVE 428,42.0181276,-93.6514519,982
