,address,lat,long
75,4210 WELBECK DR,42.06250660000001,-93.6441663
76,2416 DALTON CIR,42.0542768,-93.64138919999999
77,704 BURNETT AVE,42.0280832,-93.6151515
78,1314 BARKLEY CT,42.051564,-93.6275299
79,,42.029046,-93.6143401
80,3007 DIAMOND ST,41.9957149,-93.601356
81,1523 GLENDALE AVE,42.0377338,-93.6061496
82,1408 KELLOGG AVE,42.03603,-93.61366749999999
83,934 MESA VERDE PL,42.0309191,-93.6707812
84,1124 SCHOLL RD,42.0331658,-93.6651362
85,1206 MARSTON AVE,42.0335431,-93.6233436
86,3902 ARKANSAS DR,42.0312709,-93.67210600000001
87,611 RIDGEWOOD AVE,42.0272497,-93.6256788
88,1015 CURTISS AVE,42.0318346,-93.6248476
89,4025 BERKSHIRE AVE,42.0612335,-93.63925669999999
90,2616 KINGSTON DR,42.0520027,-93.64420589999999
91,1217 JEFFERSON ST,42.0555166,-93.62710369999999
92,507 LYNN AVE,42.0176227,-93.64666079999999
93,3411 TRIPP ST 3413,42.0202853,-93.6653323
94,2713 HAMPTON ST,42.0461909,-93.6460273
95,2004 BURNETT AVE,42.0423026,-93.61564609999999
96,1302 MAXWELL AVE,42.034714,-93.606533
97,615 MEADOW PL,41.9924141,-93.6029808
98,2527 KELLOGG AVE,42.047407,-93.616126
99,2024 PINEHURST DR,42.042511,-93.649136
100,4619 CLEMENS BLVD,42.0181653,-93.6817957
101,703 ONYX ST,41.9962483,-93.6025295
102,1624 DOUGLAS AVE,42.0392683,-93.6120253
103,2426 YORKSHIRE CIR,42.052903,-93.64185499999999
104,601 CHELSEA CT,42.027235,-93.679165
105,2009 ROOSEVELT CIR,42.0425245,-93.6239373
106,633 MEADOW PL,41.9926829,-93.6021877
107,605 MEADOW PL,41.9923178,-93.60336029999999
108,3305 PRESTON CIR,42.0606287,-93.65650169999999
109,3021 OAKLAND ST,42.0283927,-93.65913549999999
110,2510 BRISTOL DR,42.0469478,-93.6428597
111,2009 STEVENSON DR,42.0527012,-93.63604110000001
112,2604 DALTON ST,42.0540084,-93.6436714
113,2705 HOOVER AVE,42.0481878,-93.63050779999999
114,225 16TH ST,42.03852089999999,-93.6136873
115,508 CARROLL AVE,42.026329,-93.6082663
116,2829 WHITE OAK DR,41.99654659999999,-93.6470568
117,418 PEARSON AVE,42.0187317,-93.642147
118,2125 FURMAN DR,42.044356,-93.6215824
119,3914 ARKANSAS DR,42.031094,-93.672564
120,3309 SOUTHDALE DR,41.9927647,-93.6057539
121,1508 CALIFORNIA AVE,42.0371459,-93.6910687
122,1218 N 3RD ST,42.0250013,-93.6277568
123,532 WESTFIELD RD,42.0278211,-93.6873236
124,1907 CLARK AVE,42.0413956,-93.61746649999999
125,1430 RIDGEWOOD AVE,42.03661830000001,-93.6287266
126,202 S WALNUT AVE,42.0214702,-93.61657609999999
127,1604 CARROLL AVE,42.0384456,-93.60870159999999
128,5214 MARYLAND ST,42.0357026,-93.68970139999999
129,2311 SUNCREST DR,41.9956076,-93.6474132
130,310 COLORADO CIR,42.02559460000001,-93.66329429999999
131,2320 TIMBERLAND RD,42.0004141,-93.64943269999999
132,2812 WOOD ST,42.02195649999999,-93.6562046
133,5110 CLEMENS BLVD,42.01675729999999,-93.68796689999999
134,5300 NORRIS ST,42.0206433,-93.69007789999999
135,910 BROOKRIDGE AVE,42.0308713,-93.6272224
136,4116 WELBECK DR,42.0619586,-93.6439556
137,3010 KELLOGG AVE,42.0518756,-93.618258
138,1237 24TH ST,42.0458497,-93.6274995
139,301 ABRAHAM DR,42.0197634,-93.6765259
140,5505 DURANT ST,42.0247274,-93.6922378
141,2002 MELROSE AVE,42.0422766,-93.6219979
142,923 VERMONT CIR,42.0301319,-93.68215599999999
143,3203 GARNER AVE,42.0535011,-93.62734119999999
144,5301 CLEMENS BLVD,42.0170448,-93.6896532
145,4239 STONE BROOKE RD,42.06216000000001,-93.63449
146,1401 JOHNSON ST,42.049088,-93.62924
147,509 SMILEY AVE,42.018114,-93.688127
148,2322 BAKER ST,42.01775079999999,-93.64749259999999
149,1502 DOUGLAS AVE,42.0372211,-93.6120253
150,2910 HARRISON RD,42.0589571,-93.6501909
151,2700 NORTHRIDGE CIR,42.0480897,-93.6500861
152,2869 GREENSBORO CIR,42.045133,-93.649046
153,3905 MARIGOLD DR,42.0190861,-93.670495
154,1113 MARSTON AVE,42.0325624,-93.6238185
155,414 WELLONS DR,42.0188082,-93.67498069999999
156,1603 MEADOWLANE AVE 1605,42.0383191,-93.604112
157,2845 GREENSBORO CIR,42.045012,-93.647655
158,221 16TH ST,42.0385072,-93.6135092
159,2152 ASHMORE DR,42.0106624,-93.6437505
160,5216 CLEMENS BLVD,42.0167228,-93.6888295
161,2424 RIDGETOP CIR,42.0461746,-93.6514127
162,2729 NORTHWOOD DR,42.0492894,-93.617605
163,1404 IDAHO AVE,42.035577,-93.68373
164,1904 BUCHANAN DR,42.0544533,-93.63509979999999
165,315 S 4TH ST,42.019349,-93.61444
166,1222 CURTISS AVE,42.0340889,-93.62441220000001
167,321 9TH ST,42.030406,-93.615031
168,412 10TH ST,42.0310967,-93.6163782
169,1311 KELLOGG AVE,42.03506429999999,-93.6142809
170,109 S MAPLE AVE,42.022389,-93.62544129999999
171,1308 MEADOWLANE AVE,42.034983,-93.6034744
172,2422 DALTON CIR,42.054005,-93.6414042
173,211 DOTSON DR,42.0206532,-93.67165279999999
174,2625 YORKSHIRE ST,42.053343,-93.6445622
175,1018 VERMONT CT,42.0314544,-93.68183529999999
176,3127 ASPEN RD,42.0515775,-93.65517489999999
177,3815 ONTARIO ST,42.03473400000001,-93.67044
178,1309 KENTUCKY AVE,42.0348875,-93.6880171
179,3412 TAFT AVE,42.0554423,-93.6349613
180,1209 NORTHWESTERN AVE,42.03369259999999,-93.6259558
181,3908 STONE BROOKE CIR,42.059541,-93.632716
182,1001 ARIZONA AVE,42.0313766,-93.67581270000001
183,2617 KINGSTON DR,42.052369,-93.64422569999999
184,3616 ROSS RD,42.0320284,-93.6674932
185,609 NORTHWESTERN AVE,42.0272485,-93.6232644
186,2013 CLARK AVE,42.0424945,-93.6175258
187,1426 MAXWELL AVE,42.0366958,-93.6066046
188,625 13TH ST,42.0347381,-93.619742
189,1308 STAFFORD AVE,42.0348879,-93.6075937
190,3505 COY ST,42.0180839,-93.66653649999999
191,2951 NORTHWESTERN AVE,42.05056099999999,-93.627459
192,802 BURNETT AVE,42.029089,-93.6151119
193,3217 RED FOX RD,41.992728,-93.6534918
194,519 OLIVER CIR,42.029697,-93.6667329
195,2513 WHITE OAK DR,41.9996204,-93.6464233
196,1302 INDIANA AVE,42.0348177,-93.6859762
197,3202 ASPEN RD,42.050844,-93.65553750000001
198,2732 NORTHRIDGE LN,42.0475151,-93.6462847
199,1317 COOLIDGE DR,42.0392176,-93.6277568
200,304 S RIVERSIDE DR,42.0202214,-93.6292412
201,922 POE AVE,42.0139685,-93.68373729999999
202,609 7TH ST,42.0280648,-93.61881199999999
203,125 HARTFORD DR,42.0237346,-93.6894636
204,1003 LINCOLN WAY,42.0230933,-93.6239373
205,3217 EISENHOWER AVE,42.054149,-93.637571
206,4029 FLETCHER BLVD,42.060921,-93.63415599999999
207,2117 GREENBRIAR CIR,42.0127932,-93.641751
208,1101 IOWA AVE,42.03273919999999,-93.65972959999999
209,2517 SHERWOOD AVE,42.0468442,-93.6436912
210,2611 STANGE RD,42.04749169999999,-93.6451958
211,1306 NORTHWESTERN AVE,42.0350609,-93.62544129999999
212,318 CRANE AVE,42.025474,-93.6658691
213,3807 BRIDGEPORT DR,42.0580082,-93.65634320000001
214,1401 CARROLL AVE 1403,42.0358775,-93.6092951
215,2505 BRADFORD DR,42.04653,-93.647093
216,3131 SEDWICK ST,42.0632843,-93.65555119999999
217,1719 DOUGLAS AVE,42.0400023,-93.61263869999999
218,424 STANTON AVE,42.0182655,-93.6483239
219,1802 BUCHANAN DR,42.0549343,-93.633932
220,1108 LINCOLN WAY,42.0226931,-93.6255996
221,2304 KELLOGG AVE,42.045041,-93.6151515
222,1217 25TH ST,42.0466844,-93.6267475
223,2722 WHITE OAK CIR,41.9976005,-93.64612629999999
224,1323 CLARK AVE,42.0354284,-93.6174467
225,1202 SCOTT AVE,42.0336461,-93.6603633
226,1423 RIDGEWOOD AVE,42.0364513,-93.6291224
227,3118 MAPLEWOOD RD,42.047486,-93.6539449
228,200 TRAIL RIDGE RD,42.0238453,-93.67393080000001
229,1008 MESA VERDE PL,42.0314451,-93.67104169999999
230,3715 COLUMBINE CIR,42.05754719999999,-93.6361687
231,1404 GRAND AVE,42.0357711,-93.6200587
232,3136 BAYBERRY RD,42.05403,-93.655503
233,1109 ROOSEVELT AVE,42.0324029,-93.6227499
234,1124 IDAHO AVE,42.0326207,-93.68297369999999
235,215 PARKRIDGE CIR,42.024752,-93.6824297
236,1017 FLORIDA AVE,42.0314335,-93.6812805
237,612 STANTON AVE,42.0165665,-93.6482843
238,428 KEN MARIL RD,41.9863741,-93.60549669999999
239,611 MEADOW PL,41.99232019999999,-93.6032812
240,2124 COUNTRY CLUB BLVD,42.015639,-93.64280029999999
241,3323 STOCKBURY ST,42.0623645,-93.657769
242,1526 HARDING AVE,42.0378969,-93.62124600000001
243,3215 HARRISON RD,42.0597096,-93.656264
244,5321 DURANT ST,42.024794,-93.690067
245,415 ASPEN RIDGE RD,42.009569,-93.61520999999999
246,1434 MEADOWLANE AVE,42.0365795,-93.6035383
247,1428 ROOSEVELT AVE,42.0367817,-93.6223145
248,4813 DOVER DR,42.0278708,-93.6833609
249,4004 WELBECK DR,42.06088219999999,-93.6434131
250,535 MEADOW CT,41.991967,-93.604501
251,615 GARDEN RD,41.9889492,-93.6035186
252,915 GASKILL DR,42.0143422,-93.64321749999999
253,621 DOUGLAS AVE 101,42.0277827,-93.612421
254,3716 ASHTON DR,42.0574489,-93.6501545
255,4012 HYDE AVE,42.0612755,-93.6398846
256,1402 MEADOWLANE AVE,42.035473,-93.60347259999999
257,1704 DOUGLAS AVE,42.039464,-93.61194619999999
258,2717 BRISTOL DR,42.047191,-93.646368
259,1215 HYLAND AVE,42.03399719999999,-93.65599499999999
260,3702 CHILTON AVE,42.057094,-93.6508624
261,2625 CLAYTON DR,42.0514894,-93.6445622
262,3310 WESTON DR,42.0609997,-93.65697689999999
263,4005 BRICKMAN AVE,42.0611341,-93.6429048
264,246 S FRANKLIN AVE,42.0193549,-93.66450250000001
265,4107 ROSS RD,42.0323964,-93.6747232
266,822 CARROLL AVE,42.029713,-93.60838199999999
267,4010 WELBECK DR,42.0610675,-93.64344
268,2908 ROXBORO DR,42.058014,-93.649884
269,3827 MINNETONKA AVE,41.9877784,-93.6051011
270,318 N RUSSELL AVE,42.02586,-93.62809320000001
271,2914 ROXBORO DR,42.0580288,-93.6502247
272,4404 TODD DR,42.0210192,-93.6777343
273,2710 BRISTOL DR,42.046784,-93.64609999999999
274,1712 AMHERST DR,42.037551,-93.6571649
275,2518 YORKSHIRE ST,42.0529497,-93.6429587
276,4020 EDGEWATER DR,42.0608447,-93.6285238
277,112 SANDBURG CT,42.0222378,-93.68734339999999
278,117 S FRANKLIN AVE 119,42.0220992,-93.6650768
279,809 POE AVE,42.0157932,-93.68407409999999
280,1027 N 2ND ST,42.0242561,-93.6250455
281,1506 MAXWELL AVE,42.0371008,-93.6066244
282,212 ROCKWELL AVE,42.0213355,-93.6829448
283,1304 ILLINOIS AVE,42.0347187,-93.6848468
284,4712 TORONTO ST,42.0356123,-93.6822712
285,211 E 16TH ST,42.0384543,-93.60842459999999
286,1214 ADAMS ST,42.0596555,-93.62870679999999
287,2818 SOMERSET DR,42.0503643,-93.6392369
288,1704 BURNETT AVE,42.0395926,-93.6152306
289,3308 SEDWICK ST,42.0628529,-93.65697689999999
290,215 HARTFORD DR,42.0243528,-93.6894636
291,1402 STAFFORD AVE,42.0358524,-93.60763329999999
292,2204 BARR DR,42.0440557,-93.61946499999999
293,313 E 13TH ST 315,42.0347483,-93.60711889999999
294,716 HODGE AVE,42.02845120000001,-93.6212657
295,2329 SUNCREST DR,41.99559989999999,-93.6482645
296,1036 ASH AVE,42.0124326,-93.6439881
297,2907 ROXBORO DR,42.0585234,-93.64984849999999
298,1110 S 2ND ST,42.02140929999999,-93.62587669999999
299,2819 BRISTOL DR,42.047787,-93.64764699999999
300,418 E 6TH ST,42.0268257,-93.604745
301,3211 CULLEN DR,42.0546036,-93.6443841
302,2816 ASPEN RD,42.0507925,-93.6470568
303,701 RIDGEWOOD AVE,42.0279028,-93.62579749999999
304,311 PEARSON AVE,42.0198845,-93.6429587
305,3828 EISENHOWER AVE,42.0592771,-93.63763349999999
306,3605 ROSS RD,42.03247349999999,-93.66685939999999
307,3212 SUMAC CIR,42.05046249999999,-93.65563039999999
308,4302 COCHRANE PKWY,42.0164154,-93.6767041
309,1004 ROOSEVELT AVE,42.0314521,-93.622275
310,3910 ROSS RD,42.0320414,-93.6719301
311,4011 WESTLAWN DR,42.0613181,-93.64175990000001
312,1005 DELAWARE AVE 1007,42.0315263,-93.6801909
313,3334 WESTON DR,42.0609645,-93.65808589999999
314,5416 NORRIS ST,42.0210642,-93.6926143
315,2913 ROSS RD,42.0334387,-93.65838289999999
316,2227 STORM ST,42.0163572,-93.6456566
317,114 E O NEIL DR,42.0398979,-93.6099045
318,4919 WALLER ST,42.0143613,-93.6863837
319,807 12TH ST,42.0334733,-93.6218792
320,1420 INDIANA AVE,42.0360022,-93.68614679999999
321,3115 NORTHWOOD DR,42.0534738,-93.61839649999999
322,619 10TH ST,42.0314234,-93.6195046
323,3842 HYDE AVE,42.0593178,-93.640009
324,1306 WOODSTOCK AVE,42.034949,-93.676808
325,1429 GLENDALE AVE,42.0367294,-93.6061496
326,2115 HUNZIKER DR,42.0434963,-93.6249663
327,1714 DOUGLAS AVE,42.0398477,-93.6120253
328,3421 OAKLAND ST,42.0286553,-93.663631
329,4125 APLIN RD,42.0201108,-93.6747232
330,4110 CRESTMOOR AVE,42.0621328,-93.6449978
331,2716 COTTONWOOD RD,41.9928355,-93.6525413
332,2914 HARRISON RD,42.0589691,-93.65040289999999
333,714 STANTON AVE,42.0156404,-93.64824469999999
334,2621 STANGE RD,42.0481801,-93.6451866
335,3412 TRIPP ST 3414,42.019983,-93.66535929999999
336,2412 EATON AVE,42.046055,-93.645202
337,422 HAYWARD AVE,42.01830229999999,-93.65143259999999
338,914 6TH ST,42.0265934,-93.62334179999999
339,1630 CRESTWOOD CIR,42.0397858,-93.6053781
340,3913 ROSS RD,42.0324825,-93.67202909999999
341,3313 STOCKBURY ST,42.0623745,-93.6574522
342,806 MURRAY DR,42.03899,-93.62195
343,4418 PHOENIX ST,42.02932149999999,-93.6784673
344,3012 SAPPHIRE CIR,41.9951611,-93.603301
345,821 NARLAND DR,42.040477,-93.62256699999999
346,3110 KINGMAN RD,42.0368518,-93.65794729999999
347,3830 MARIGOLD DR,42.0186459,-93.67012249999999
348,1402 RIDGEWOOD AVE,42.03575230000001,-93.6280141
349,2719 CAMBRIDGE DR,42.0502431,-93.647334
350,208 22ND ST,42.0437452,-93.61337069999999
351,3416 CLINTON CT,42.0559321,-93.6361558
352,2531 PIERCE AVE,42.046917,-93.63263700000002
353,3015 BURNHAM DR,42.0579361,-93.6519275
354,2227 TIMBERLAND RD,42.00138,-93.652119
355,1211 N 2ND ST,42.024256,-93.6274995
356,1321 GLENDALE AVE,42.035416,-93.6061496
357,2806 YORK DR,42.0500958,-93.6483239
358,2003 GREENBRIAR CIR,42.0127998,-93.63971199999999
359,2902 WHITE OAK DR,41.99641210000001,-93.6464233
360,2507 DALTON ST,42.05442710000001,-93.6426419
361,1909 WYNGATE DR,42.0607992,-93.63711889999999
362,419 15TH ST,42.0371978,-93.6164574
363,1115 GARNER CIR,42.0545804,-93.6258962
364,1517 STAFFORD AVE,42.0374973,-93.6081476
365,329 FRANKLIN AVE,42.0260001,-93.6650962
366,1202 NORTHWESTERN AVE,42.033401,-93.6254017
367,5406 KANSAS DR,42.037557,-93.69153
368,314 PATRICIA DR,41.9910265,-93.6075542
369,1327 ALABAMA LN,42.035342,-93.6726036
370,926 GRAND AVE,42.0311112,-93.6200226
371,1107 KELLOGG AVE,42.0324013,-93.6142017
372,3728 BRIDGEPORT DR,42.057717,-93.6557888
373,1232 NORTHWESTERN AVE,42.0344042,-93.62544129999999
374,5327 DURANT ST,42.0247884,-93.69033549999999
375,2920 HARRISON RD,42.059026,-93.650679
376,125 S HAZEL AVE,42.021873,-93.62710369999999
377,1606 BURNETT AVE,42.0384724,-93.6152306
378,2201 BARR DR,42.043994,-93.6200715
379,2106 TORREY PINES RD,42.04252,-93.64529399999999
380,2124 TORREY PINES RD,42.043174,-93.64530069999999
381,5344 CLEMENS BLVD,42.01589999999999,-93.691047
382,5321 KANSAS DR,42.0378931,-93.69091999999999
383,3326 KINGMAN RD,42.0373562,-93.6621259
384,2651 SOMERSET DR,42.0487273,-93.63971199999999
385,322 CRANE AVE,42.025708,-93.66614930000001
386,2808 NORTHRIDGE LN,42.047652,-93.646884
387,3226 OAKLAND ST,42.0278634,-93.66180899999999
388,520 20TH ST 522,42.0418517,-93.61831730000002
389,623 AGG AVE,42.0166863,-93.64145409999999
390,4115 WEMBLEY AVE,42.06094179999999,-93.6587988
391,2421 WESTWIND DR,42.0625479,-93.64308989999999
392,4707 HEMINGWAY DR,42.0190134,-93.68306369999999
393,2166 ASHMORE DR,42.0114303,-93.6439089
394,4812 HEMINGWAY DR,42.018518,-93.68468
395,1617 DOUGLAS AVE,42.0389395,-93.6126585
396,1322 ALABAMA LN,42.0352837,-93.6720093
397,208 TODD CIR,42.0208624,-93.67719939999999
398,110 S WILMOTH AVE,42.0222165,-93.6613931
399,902 TOP O HOLLOW RD,42.056441,-93.6235019
400,1428 BRECKINRIDGE CT,42.051588,-93.629024
401,1126 BURNETT AVE,42.0330644,-93.6152306
402,1103 N 2ND ST,42.0242411,-93.6255205
403,228 S RIVERSIDE DR,42.0205305,-93.6292412
404,803 12TH ST,42.033517,-93.6217209
405,4008 FRANCES E DAVIS CT,42.0604129,-93.62734119999999
406,3205 CULLEN DR,42.0544492,-93.6443841
407,1518 CARROLL AVE,42.0374998,-93.6086818
408,415 BEEDLE DR,42.0185459,-93.67351479999999
409,1312 BIG BLUESTEM CT,42.010485,-93.64450699999999
410,4133 ONTARIO ST,42.03475630000001,-93.67521839999999
411,1510 ILLINOIS AVE,42.03649679999999,-93.6848072
412,1606 TOP O HOLLOW RD,42.0562947,-93.6318141
413,804 POE AVE,42.01596809999999,-93.6834401
414,3040 BAYBERRY RD,42.053298,-93.65387100000001
415,1330 WOODSTOCK AVE,42.0360589,-93.6767636
416,611 10TH ST,42.031457,-93.6190495
417,4102 CRESTMOOR AVE,42.062227,-93.64465
418,1512 HARDING AVE,42.0373948,-93.62124600000001
419,1005 FLORIDA AVE,42.03100860000001,-93.6812805
420,428 26TH ST,42.0470694,-93.6169718
421,3106 SEDWICK ST,42.0628512,-93.65460069999999
422,2159 COUNTRY CLUB BLVD 2157,42.0158519,-93.64400789999999
423,1527 STONE BROOKE RD,42.059518,-93.632013
424,3616 CALHOUN AVE,42.05726180000001,-93.6237987
425,931 MAXWELL AVE,42.031265,-93.607092
426,1225 ROOSEVELT AVE,42.0342534,-93.62286859999999
427,308 VILLAGE DR,42.0196247,-93.6663444
428,2204 PRAIRIE VIEW EAST,42.0437693,-93.63773250000001
429,4715 TWAIN ST,42.016422,-93.6829939
430,2419 KINGSTON DR,42.0523895,-93.6411374
431,114 S RUSSELL AVE,42.0223079,-93.6280141
432,2720 NORTHRIDGE LN,42.047961,-93.645844
433,3321 FOXLEY DR,42.0587987,-93.6575908
434,911 MESA VERDE PL,42.0309173,-93.67204890000001
435,3817 FLETCHER BLVD,42.0588403,-93.6349613
436,2810 ASPEN RD,42.0506854,-93.6467796
437,1208 ARIZONA AVE,42.0335401,-93.6751986
438,303 RUBY CIR,41.9961894,-93.6074948
439,1413 16TH ST,42.0384749,-93.62864739999999
440,519 POE CIR,42.0176302,-93.68462889999999
441,2840 ASPEN RD,42.0511511,-93.647928
442,2518 KINGSTON DR,42.05203909999999,-93.64305759999999
443,1203 SCOTT AVE,42.0335262,-93.661096
444,2839 ROXBORO DR,42.058603,-93.64963499999999
445,2309 WESTWIND DR,42.062821,-93.64087599999999
446,704 TOP O HOLLOW RD,42.0564316,-93.62164639999999
447,5409 FROST DR,42.0192775,-93.6917028
448,2815 BRISTOL DR,42.047579,-93.64752899999999
449,2104 DOUGLAS AVE,42.0431575,-93.61202019999999
450,422 E 6TH ST,42.026812,-93.60456699999999
451,1202 WHEELER ST,42.0531712,-93.62716619999999
452,3217 KENT AVE,42.0548108,-93.6427211
453,1333 TRUMAN PL,42.0527019,-93.627932
454,3905 ONTARIO ST,42.03472319999999,-93.67141509999999
455,602 ASH AVE,42.0169351,-93.6439683
456,2624 MELROSE AVE,42.0482642,-93.62441220000001
457,1505 LITTLE BLUESTEM CT UNIT 116,42.00953459999999,-93.64614519999999
458,3122 BECKLEY ST,42.060303,-93.65460069999999
459,1212 JEFFERSON ST,42.0550968,-93.6269454
460,3840 BERKSHIRE AVE,42.0596281,-93.6387421
461,2025 PRAIRIE VIEW EAST,42.0425109,-93.63783149999999
462,278 VILLAGE DR,42.018696,-93.666384
463,4106 TORONTO ST,42.0357213,-93.6740298
464,3306 EISENHOWER AVE,42.0548964,-93.6375741
465,4013 FRANCES E DAVIS CT,42.0606794,-93.6280735
466,2713 NORTHRIDGE CIR,42.0485146,-93.650838
467,114 8TH ST,42.0287671,-93.61121419999999
468,707 MEADOW PL,41.9923452,-93.6017723
469,3300 EISENHOWER AVE,42.0546622,-93.6376533
470,3028 BAYBERRY RD,42.05324359999999,-93.65317499999999
471,120 E O NEIL DR,42.0398824,-93.6096908
472,1517 KELLOGG AVE,42.0376911,-93.6142809
473,1511 DOUGLAS AVE,42.0375304,-93.6128034
474,3616 JEWEL DR,41.9894523,-93.59979980000001
475,3703 CHILTON AVE,42.0572375,-93.6514325
476,4307 TORONTO ST,42.0365599,-93.677453
477,1019 ARIZONA AVE,42.0319772,-93.6757533
478,1413 JOHNSON ST,42.0490238,-93.62971619999999
479,428 STANTON AVE,42.0181109,-93.6483239
480,3901 QUEBEC ST 3903,42.0335045,-93.6714745
481,219 7TH ST,42.0281092,-93.6130937
482,1222 NORTHWESTERN AVE,42.03409509999999,-93.62544129999999
483,2415 BRADFORD DR,42.046175,-93.6473254
484,1301 RIDGEWOOD AVE 1303,42.0347131,-93.62789529999999
485,1601 AMHERST DR,42.0374016,-93.6606999
486,2004 MCCARTHY RD,42.0133994,-93.6396922
487,3108 ROXBORO DR,42.0585746,-93.6537096
488,2503 RIDGETOP RD,42.0455912,-93.6532352
489,2406 COTTONWOOD RD,41.993051,-93.6481854
490,3318 EMERALD DR,41.992429,-93.60793699999999
491,510 LUTHER DR,42.0481234,-93.6178424
492,3108 SYCAMORE RD,42.0493246,-93.6533547
493,428 JEWEL DR,41.9930129,-93.6058528
494,1400 BURNETT AVE,42.0358843,-93.6152306
495,2804 PINEHURST CIR,42.0445005,-93.6453853
496,3838 WELBECK DR,42.0597804,-93.6436912
497,1210 CURTISS AVE,42.0337026,-93.62441220000001
498,1018 10TH ST,42.031077,-93.6243726
499,804 TOP O HOLLOW RD,42.0564784,-93.6223145
500,803 DUFF AVE,42.0291833,-93.6108778
501,616 RIDGEWOOD AVE,42.0274205,-93.6251642
502,2729 CLEVELAND DR,42.04912789999999,-93.63498109999999
503,700 DIAMOND CT,41.9941843,-93.6017778
504,1904 WILSON AVE,42.04083,-93.618258
